,smile
0,CCCS(=O)c1ccc2[nH]c(=NC(=O)OC)[nH]c2c1
1,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1
2,Cc1c(Cl)cccc1Nc1ncccc1C(=O)OCC(O)CO
3,Cn1cnc2c1c(=O)n(CC(O)CO)c(=O)n2C
4,CC1Oc2ccc(Cl)cc2N(CC(O)CO)C1=O
5,CCOC(=O)c1cncn1C1CCCc2ccccc21
6,COc1ccccc1OC(=O)Oc1ccccc1OC
7,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
8,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21
9,CCC(=O)c1ccc(OCC(O)CO)c(OC)c1
10,Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2CC1CC=CCC1
11,COc1cc2c(cc1O)N=CC1CCC(O)N1C2=O
12,COc1c(C)cnc(CS(=O)c2nc3ccccc3[nH]2)c1C
13,COc1cc(C)c(Cc2cnc(N)nc2N)cc1OC
14,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
15,CC1CC(OC(=O)CN2CCCC2=O)CC(C)(C)C1
16,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
17,COC(=O)c1c[nH]c2cc(OC(C)C)c(OC(C)C)cc2c1=O
18,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1
19,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
20,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1
21,COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC
22,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F
23,COc1ccc(C=C2CCCN=C2c2cccnc2)c(OC)c1
24,CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1
25,CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12
26,CC(=O)Oc1cccc(OC(C)=O)c1OC(C)=O
27,CC1(C)C(=O)Nc2cc3nc(-c4ccncc4)[nH]c3cc21
28,CC(C)C=c1[nH]c(=O)c(=Cc2ccccc2)[nH]c1=O
29,NC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
30,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
31,CNC(=O)Oc1ccccc1C(=O)Nc1ccccc1
32,COc1ccc(-c2nnc(C)nc2-c2ccc(OC)cc2)cc1
33,Nc1ncnc2c1ncn2Cc1c(F)cccc1Cl
34,Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1
35,Cc1cc(Cc2cnc(N)nc2N)c2cccnc2c1N(C)C
36,NS(=O)(=O)c1ccc(NCc2ccccc2)cc1
37,CC1(C)C=C(n2ccccc2=O)c2cc(C#N)ccc2O1
38,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
39,CN(CCO)c1nc2c(c(=O)n(C)c(=O)n2C)n1C
40,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
41,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
42,NS(=O)(=O)c1cc2c(cc1Cl)CN(C1CCCCC1)C2=O
43,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl
44,CC1(C)Oc2ccc(C#N)cc2C(N2CCCC2=O)C1O
45,Nc1nc2c(ncn2C2CC(CO)C2CO)c(=O)[nH]1
46,CC12CCC3=C(CCc4cc(O)ccc43)C1CCC2=O
47,CNC(=O)c1ccc(Cl)c(S(=O)(=O)NC)c1
48,NC(=O)c1cc(Br)cc(Br)c1O
49,O=C(c1ccccc1)c1cccc(NS(=O)(=O)C(F)F)c1
50,CCCN(CCC)S(=O)(=O)c1ccc(C)cc1
51,O=C1OCC(Cc2cccc(O)c2)C1Cc1cccc(O)c1
52,CCc1ccccc1-n1c(C)nc2ccccc2c1=O
53,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl
54,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1
55,Cc1c(O)c(C)c2c(c1O)C(=O)CC(c1ccc(O)cc1)O2
56,CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
57,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1
58,COc1c(OC)c(OC(C)=O)c2cc(Cl)ccc2c1OC(C)=O
59,Cc1nc2ccccc2c(=O)n1-c1ccccc1Cl
60,CCOc1ccc(-n2c(C)nc3ccccc3c2=O)cc1
61,Cc1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1
62,Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2
63,Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1
64,Cc1ccc(C)n1Nc1ccc(N2CCOCC2)nn1
65,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21
66,Nc1ncnc2c1ncn2C1C=C(CO)C(O)C1O
67,O=C(c1ccccc1Nc1ccncc1)N1CCCCC1
68,CC1=NC(=O)C(C#N)=CC1=C1C=CN2C=CNC2=C1
69,CC(=O)Nc1ccc(OC(=O)c2cccs2)cc1
70,Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1
71,OCC1(CO)COC(C(Cl)(Cl)Cl)OC1
72,CCN(CC)C(=O)c1ccccc1C(=O)N(CC)CC
73,COc1ccc(C2Cc3cccc(O)c3C(=O)O2)cc1O
74,C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
